,Dataflow,STAT_UNIT,UNIT_MEASURE,EDU_LEVEL,EDU_CAT,SEX,AGE,GRADE,SECTOR_EDU,EDU_ATTAIN,SUBJECT,WEALTH_QUINTILE,INFRASTR,LOCATION,EDU_TYPE,SE_BKGRD,SOURCE_FUND,FUND_FLOW,IMM_STATUS,REF_AREA,TIME_PERIOD,OBS_VALUE,UNIT_MULT,OBS_STATUS,FREQ,DECIMALS
21,UNESCO:SDG4(2.0),ROFST,PT,L2,_T,_T,SCH_AGE_GROUP,_T,INST_T,_Z,_T,_Z,_Z,_Z,_T,_T,_Z,_Z,_Z,AIMS_CAS,2005,5.35215,0,E,A,5
22,UNESCO:SDG4(2.0),ROFST,PT,L2,_T,_T,SCH_AGE_GROUP,_T,INST_T,_Z,_T,_Z,_Z,_Z,_T,_T,_Z,_Z,_Z,AIMS_CAS,2006,5.06721,0,E,A,5
23,UNESCO:SDG4(2.0),ROFST,PT,L2,_T,_T,SCH_AGE_GROUP,_T,INST_T,_Z,_T,_Z,_Z,_Z,_T,_T,_Z,_Z,_Z,AIMS_CAS,2007,5.22271,0,A,A,5
24,UNESCO:SDG4(2.0),ROFST,PT,L2,_T,_T,SCH_AGE_GROUP,_T,INST_T,_Z,_T,_Z,_Z,_Z,_T,_T,_Z,_Z,_Z,AIMS_CAS,2008,5.69843,0,A,A,5
25,UNESCO:SDG4(2.0),ROFST,PT,L2,_T,_T,SCH_AGE_GROUP,_T,INST_T,_Z,_T,_Z,_Z,_Z,_T,_T,_Z,_Z,_Z,AIMS_CAS,2009,6.02102,0,A,A,5
26,UNESCO:SDG4(2.0),ROFST,PT,L2,_T,_T,SCH_AGE_GROUP,_T,INST_T,_Z,_T,_Z,_Z,_Z,_T,_T,_Z,_Z,_Z,AIMS_CAS,2010,6.11994,0,A,A,5
27,UNESCO:SDG4(2.0),ROFST,PT,L2,_T,_T,SCH_AGE_GROUP,_T,INST_T,_Z,_T,_Z,_Z,_Z,_T,_T,_Z,_Z,_Z,AIMS_CAS,2011,7.055280000000001,0,A,A,5
28,UNESCO:SDG4(2.0),ROFST,PT,L2,_T,_T,SCH_AGE_GROUP,_T,INST_T,_Z,_T,_Z,_Z,_Z,_T,_T,_Z,_Z,_Z,AIMS_CAS,2012,7.37409,0,A,A,5
29,UNESCO:SDG4(2.0),ROFST,PT,L2,_T,_T,SCH_AGE_GROUP,_T,INST_T,_Z,_T,_Z,_Z,_Z,_T,_T,_Z,_Z,_Z,AIMS_CAS,2013,7.606510000000001,0,A,A,5
30,UNESCO:SDG4(2.0),ROFST,PT,L2,_T,_T,SCH_AGE_GROUP,_T,INST_T,_Z,_T,_Z,_Z,_Z,_T,_T,_Z,_Z,_Z,AIMS_CAS,2014,7.10877,0,E,A,5
31,UNESCO:SDG4(2.0),ROFST,PT,L2,_T,_T,SCH_AGE_GROUP,_T,INST_T,_Z,_T,_Z,_Z,_Z,_T,_T,_Z,_Z,_Z,AIMS_CAS,2015,7.0609399999999996,0,E,A,5
32,UNESCO:SDG4(2.0),ROFST,PT,L2,_T,_T,SCH_AGE_GROUP,_T,INST_T,_Z,_T,_Z,_Z,_Z,_T,_T,_Z,_Z,_Z,AIMS_CAS,2016,6.00231,0,E,A,5
33,UNESCO:SDG4(2.0),ROFST,PT,L2,_T,_T,SCH_AGE_GROUP,_T,INST_T,_Z,_T,_Z,_Z,_Z,_T,_T,_Z,_Z,_Z,AIMS_CAS,2017,5.295669999999999,0,E,A,5
34,UNESCO:SDG4(2.0),ROFST,PT,L2,_T,_T,SCH_AGE_GROUP,_T,INST_T,_Z,_T,_Z,_Z,_Z,_T,_T,_Z,_Z,_Z,AIMS_CAS,2018,5.203869999999999,0,E,A,5
